timestamp;sku;vendedor;cantidad
30/9/2019;75;47;5
29/7/2019;29;9;5
11/4/2019;35;46;9
16/11/2019;15;45;2
23/3/2019;112;26;10
21/12/2019;127;45;6
31/12/2019;18;45;2
28/9/2019;33;37;3
20/4/2019;47;44;5
19/2/2019;74;52;1
30/4/2019;51;10;4
18/9/2019;53;21;5
7/2/2019;115;48;7
12/5/2019;53;16;7
11/11/2019;54;41;1
19/7/2019;29;51;8
5/5/2019;114;23;2
21/8/2019;55;27;5
27/3/2019;81;20;1
30/10/2019;21;51;4
27/4/2019;10;15;9
28/2/2019;63;8;4
9/12/2019;38;14;5
11/1/2019;84;4;2
3/12/2019;17;35;3
31/10/2019;120;2;8
4/1/2019;48;48;6
27/6/2019;51;28;2
4/8/2019;69;42;3
20/1/2019;64;5;6
21/12/2019;77;1;10
4/4/2019;111;7;4
13/7/2019;90;10;2
23/9/2019;111;30;5
4/11/2019;105;45;10
24/11/2019;56;39;7
16/4/2019;13;13;5
12/5/2019;15;24;6
5/7/2019;115;47;9
11/3/2019;46;44;10
26/6/2019;61;6;7
6/5/2019;88;43;4
4/8/2019;87;47;2
5/12/2019;88;15;3
4/5/2019;3;8;7
24/1/2019;15;38;4
12/1/2019;104;46;1
2/4/2019;100;32;1
29/10/2019;110;57;1
29/4/2019;16;20;8
17/2/2019;121;30;1
8/10/2019;1;57;9
11/11/2019;78;28;9
9/2/2019;106;11;1
5/7/2019;43;57;2
13/2/2019;98;37;4
26/8/2019;98;46;6
29/4/2019;75;33;3
21/5/2019;23;21;3
30/1/2019;16;5;7
26/9/2019;120;43;6
23/4/2019;76;55;10
21/2/2019;45;27;4
2/8/2019;110;21;6
11/10/2019;36;27;3
7/2/2019;82;48;10
23/6/2019;90;8;3
19/8/2019;61;11;4
7/3/2019;101;25;8
20/12/2019;37;56;6
9/9/2019;35;33;10
6/1/2019;58;39;6
19/12/2019;116;22;9
24/2/2019;90;23;6
4/12/2019;89;9;5
31/8/2019;79;34;6
18/7/2019;9;22;6
22/8/2019;18;51;9
22/4/2019;2;55;6
12/10/2019;39;32;2
6/4/2019;8;31;7
31/8/2019;41;35;8
13/10/2019;119;48;9
18/4/2019;101;13;2
25/5/2019;74;24;2
21/12/2019;10;43;1
3/7/2019;63;50;3
11/4/2019;56;5;5
22/3/2019;30;27;7
15/1/2019;24;45;10
20/12/2019;18;32;7
10/7/2019;3;2;4
15/2/2019;94;48;3
6/4/2019;7;52;1
1/4/2019;24;41;9
4/3/2019;91;1;2
16/1/2019;41;31;5
5/7/2019;20;56;8
10/12/2019;101;36;2
18/11/2019;30;45;2
20/5/2019;112;42;4
22/3/2019;92;19;5
27/8/2019;66;11;3
30/4/2019;127;56;1
7/5/2019;60;48;9
29/8/2019;77;20;8
29/6/2019;101;16;10
26/9/2019;32;22;8
1/1/2019;114;49;3
17/12/2019;59;53;1
23/12/2019;123;42;3
30/7/2019;77;39;1
9/1/2019;41;43;3
3/10/2019;41;57;2
29/4/2019;89;16;7
25/6/2019;32;26;9
4/9/2019;115;56;1
5/6/2019;85;6;3
27/1/2019;95;51;4
2/6/2019;32;18;4
23/10/2019;27;57;8
16/12/2019;62;54;7
25/6/2019;119;31;10
8/5/2019;95;29;1
18/8/2019;45;2;1
29/7/2019;62;34;8
6/4/2019;60;1;5
19/9/2019;109;50;6
16/4/2019;34;10;2
8/7/2019;107;49;2
7/1/2019;78;17;9
4/1/2019;23;51;1
17/2/2019;125;56;1
25/8/2019;8;37;10
9/9/2019;18;43;10
27/2/2019;127;49;3
2/7/2019;28;3;2
27/4/2019;82;29;3
1/1/2019;36;48;9
7/7/2019;68;8;9
1/9/2019;6;56;10
9/8/2019;72;22;10
10/7/2019;82;43;5
3/7/2019;12;4;6
6/6/2019;48;29;5
20/3/2019;45;50;2
18/4/2019;128;48;4
4/12/2019;20;32;8
4/12/2019;39;40;2
30/12/2019;0;29;9
5/2/2019;111;56;10
20/11/2019;57;16;3
2/9/2019;56;5;4
23/9/2019;21;1;7
9/5/2019;30;53;4
18/3/2019;28;42;1
8/9/2019;97;27;6
21/10/2019;24;19;2
8/6/2019;27;58;3
7/11/2019;44;39;10
21/11/2019;78;34;8
6/2/2019;123;5;7
13/6/2019;2;18;10
11/7/2019;47;40;8
18/2/2019;65;40;1
1/5/2019;129;45;5
10/1/2019;45;55;6
6/8/2019;70;8;5
19/5/2019;3;9;5
7/11/2019;9;16;9
4/6/2019;35;3;3
31/3/2019;5;37;8
8/8/2019;94;22;9
5/5/2019;19;2;1
3/11/2019;26;57;1
20/11/2019;40;9;8
25/9/2019;112;13;1
6/6/2019;16;37;1
12/7/2019;94;40;5
14/8/2019;33;35;4
6/10/2019;121;25;1
18/4/2019;81;24;10
8/5/2019;94;47;1
29/1/2019;119;50;9
19/4/2019;100;10;7
16/1/2019;81;6;2
7/12/2019;101;37;8
26/2/2019;9;14;2
27/2/2019;79;43;3
23/12/2019;28;32;2
31/1/2019;129;43;7
24/2/2019;61;44;8
17/8/2019;7;57;1
25/8/2019;19;54;9
21/9/2019;95;42;7
8/5/2019;84;46;9
24/8/2019;44;31;5
8/5/2019;102;17;6
26/4/2019;106;41;1
8/12/2019;95;8;10
23/4/2019;83;18;8
22/12/2019;109;2;3
4/3/2019;90;8;3
9/2/2019;65;28;9
30/9/2019;42;21;4
19/6/2019;128;1;5
9/3/2019;103;30;2
17/1/2019;27;45;6
24/4/2019;123;38;9
18/3/2019;40;53;9
21/9/2019;104;42;4
6/3/2019;22;50;8
11/8/2019;20;8;5
3/12/2019;102;46;6
13/8/2019;37;56;5
5/4/2019;92;35;5
5/9/2019;45;37;2
3/9/2019;52;53;3
31/5/2019;51;13;6
18/5/2019;87;19;2
6/7/2019;119;42;10
13/3/2019;22;7;8
19/4/2019;85;41;8
22/6/2019;74;51;5
12/7/2019;45;46;9
20/5/2019;38;50;4
4/7/2019;108;17;9
9/11/2019;88;41;1
17/11/2019;96;48;9
22/11/2019;25;24;2
18/8/2019;118;46;2
19/10/2019;93;46;2
12/1/2019;59;39;1
17/8/2019;74;55;6
18/3/2019;35;13;5
1/5/2019;74;37;6
3/3/2019;4;2;8
1/12/2019;120;57;10
17/10/2019;108;9;7
29/4/2019;96;14;4
9/4/2019;42;8;4
1/5/2019;90;12;1
17/4/2019;18;5;9
26/8/2019;83;9;6
1/1/2019;126;22;7
7/7/2019;9;33;1
8/7/2019;43;52;4
24/10/2019;90;27;8
31/10/2019;65;4;2
31/8/2019;8;38;7
9/2/2019;78;35;7
20/3/2019;90;23;7
11/5/2019;49;50;2
7/4/2019;23;4;5
1/1/2019;95;14;5
23/6/2019;75;31;5
19/12/2019;97;39;6
15/7/2019;85;56;4
7/3/2019;30;38;7
2/7/2019;47;25;10
16/9/2019;1;1;9
16/5/2019;75;35;9
18/9/2019;27;58;10
13/5/2019;121;32;7
17/5/2019;96;53;10
1/8/2019;70;11;7
27/11/2019;68;16;10
7/5/2019;31;57;1
6/9/2019;78;21;6
29/10/2019;73;37;5
13/4/2019;101;44;5
20/8/2019;54;8;8
14/9/2019;29;37;9
16/8/2019;14;48;4
30/11/2019;129;55;7
26/4/2019;68;55;5
1/11/2019;125;42;9
22/11/2019;51;32;7
15/12/2019;10;30;4
4/2/2019;4;42;8
7/1/2019;88;24;6
14/9/2019;7;28;4
10/5/2019;21;43;8
5/9/2019;92;32;8
1/5/2019;40;14;4
4/3/2019;106;6;5
25/9/2019;20;30;6
14/12/2019;47;39;4
25/5/2019;10;43;9
2/9/2019;37;35;6
29/1/2019;58;7;4
9/4/2019;49;31;6
16/1/2019;30;3;3
11/2/2019;38;22;3
7/2/2019;87;47;1
22/9/2019;15;43;3
24/12/2019;44;43;9
11/2/2019;128;18;5
17/5/2019;6;40;10
21/1/2019;17;10;5
12/3/2019;34;46;5
12/8/2019;4;30;4
9/2/2019;59;36;2
8/10/2019;29;6;1
22/10/2019;6;26;5
19/5/2019;82;53;4
25/2/2019;94;57;6
1/10/2019;28;37;2
23/12/2019;74;42;8
21/12/2019;87;21;4
16/12/2019;113;36;5
25/12/2019;85;5;7
13/9/2019;31;24;4
6/10/2019;12;41;4
14/5/2019;34;29;5
18/1/2019;46;11;2
26/3/2019;42;34;6
4/3/2019;113;1;5
15/11/2019;37;8;7
15/12/2019;55;47;2
20/3/2019;83;2;3
4/5/2019;59;16;8
30/1/2019;97;11;5
17/1/2019;9;53;7
13/2/2019;90;30;10
30/3/2019;52;49;1
15/1/2019;96;13;1
2/2/2019;62;19;10
7/9/2019;99;14;2
24/8/2019;121;17;9
22/9/2019;100;4;8
3/5/2019;79;3;4
26/6/2019;97;30;8
28/2/2019;67;53;3
17/7/2019;90;37;4
28/4/2019;18;31;2
19/8/2019;55;13;7
23/7/2019;36;16;6
23/12/2019;23;56;4
19/4/2019;60;39;8
3/9/2019;92;52;7
24/2/2019;127;45;9
9/7/2019;62;13;8
25/9/2019;37;5;10
22/6/2019;105;3;1
4/3/2019;8;46;1
8/12/2019;47;39;4
23/7/2019;28;55;5
13/1/2019;22;29;10
7/3/2019;93;57;4
13/2/2019;33;22;9
26/8/2019;62;39;1
12/2/2019;60;32;6
10/4/2019;85;52;1
11/6/2019;112;54;2
19/10/2019;106;29;3
8/11/2019;24;36;10
3/8/2019;105;39;9
13/1/2019;28;29;10
26/6/2019;113;37;2
13/4/2019;8;44;4
29/5/2019;46;42;3
9/6/2019;38;33;4
18/8/2019;69;37;1
14/1/2019;67;26;4
24/4/2019;101;49;4
1/3/2019;36;29;5
5/4/2019;50;49;2
16/12/2019;76;4;9
25/9/2019;99;40;8
6/6/2019;107;23;9
16/10/2019;48;37;3
11/2/2019;103;24;6
14/6/2019;18;5;7
8/4/2019;108;31;4
21/8/2019;97;3;1
20/3/2019;20;56;5
23/2/2019;54;14;6
7/1/2019;23;32;5
8/7/2019;86;7;6
18/6/2019;78;6;9
27/11/2019;116;28;1
13/10/2019;108;21;2
20/7/2019;4;43;7
19/7/2019;61;13;4
2/9/2019;88;21;6
29/4/2019;118;31;3
22/1/2019;51;24;5
14/10/2019;0;49;2
25/9/2019;95;54;6
29/9/2019;25;58;1
31/3/2019;16;17;5
16/7/2019;119;33;6
17/1/2019;70;32;10
5/10/2019;68;19;9
5/6/2019;120;39;9
9/8/2019;119;46;4
24/3/2019;22;42;7
27/4/2019;73;17;6
19/1/2019;123;58;5
10/7/2019;119;4;2
17/5/2019;103;4;9
27/12/2019;73;21;2
7/11/2019;3;55;8
18/2/2019;20;4;6
13/1/2019;126;40;8
7/7/2019;43;42;8
26/4/2019;108;47;1
2/8/2019;12;22;9
20/8/2019;92;42;2
6/2/2019;20;29;5
13/2/2019;47;30;3
24/2/2019;105;13;3
19/3/2019;24;33;7
12/9/2019;84;19;5
13/1/2019;38;19;1
23/2/2019;20;34;4
5/1/2019;114;23;9
9/11/2019;64;21;8
31/8/2019;73;47;6
10/7/2019;126;8;4
11/4/2019;49;5;1
17/11/2019;96;15;1
3/1/2019;47;21;5
7/3/2019;83;2;9
13/8/2019;42;48;10
10/7/2019;7;39;2
23/10/2019;76;43;2
23/12/2019;80;25;10
16/4/2019;78;47;4
5/1/2019;109;10;8
4/12/2019;4;54;1
14/2/2019;69;10;3
8/4/2019;100;39;10
20/8/2019;76;28;10
4/6/2019;79;50;9
15/2/2019;126;52;9
12/7/2019;128;24;1
29/9/2019;103;37;6
24/11/2019;53;57;4
13/12/2019;71;9;9
20/9/2019;69;56;7
24/10/2019;87;46;10
6/6/2019;47;17;7
28/5/2019;69;10;3
23/11/2019;106;25;6
5/7/2019;57;55;2
9/1/2019;121;13;2
18/6/2019;124;35;7
13/6/2019;120;39;7
18/7/2019;125;32;2
9/10/2019;3;43;4
20/7/2019;125;46;3
8/6/2019;5;38;8
7/11/2019;24;23;1
23/1/2019;65;39;5
21/1/2019;89;43;7
13/7/2019;74;3;10
9/5/2019;51;49;8
20/12/2019;33;48;5
12/2/2019;49;25;7
15/10/2019;100;40;2
10/10/2019;63;40;6
23/2/2019;107;41;8
10/9/2019;122;13;2
24/5/2019;27;24;3
6/7/2019;127;9;9
24/10/2019;40;44;7
18/6/2019;56;32;6
17/10/2019;118;16;7
11/10/2019;120;39;8
29/11/2019;34;22;2
28/3/2019;45;6;5
6/11/2019;7;25;4
8/5/2019;23;37;9
22/6/2019;115;32;5
26/4/2019;49;32;3
10/2/2019;97;32;8
11/1/2019;80;40;2
18/8/2019;19;49;6
19/1/2019;86;34;5
11/7/2019;119;52;5
18/12/2019;26;4;7
21/7/2019;72;38;3
12/2/2019;79;39;3
22/1/2019;14;48;1
8/11/2019;124;32;8
18/5/2019;16;2;7
13/6/2019;35;44;7
27/5/2019;123;44;7
8/4/2019;35;37;3
27/6/2019;28;39;10
15/10/2019;47;2;9
11/4/2019;121;37;4
6/4/2019;84;43;3
2/11/2019;22;57;8
7/12/2019;121;46;6
19/5/2019;51;37;6
30/7/2019;27;19;10
21/1/2019;50;40;5
29/5/2019;93;47;10
17/7/2019;114;28;2
17/5/2019;56;4;5
14/7/2019;41;1;1
17/7/2019;75;41;8
2/7/2019;39;16;2
2/3/2019;29;9;2
9/2/2019;3;22;1
22/10/2019;96;22;6
17/8/2019;124;22;1
22/10/2019;21;43;5
17/3/2019;104;6;3
20/9/2019;113;38;9
24/8/2019;128;3;4
29/10/2019;76;25;10
20/12/2019;85;19;3
4/11/2019;83;8;6
19/9/2019;82;34;2
19/1/2019;79;56;6
13/12/2019;15;44;2
30/4/2019;32;25;1
5/4/2019;30;46;5
1/8/2019;3;12;7
10/12/2019;27;49;9
10/11/2019;99;39;10
16/7/2019;106;17;8
8/4/2019;52;32;2
14/3/2019;87;2;3
27/7/2019;15;22;6
16/5/2019;82;16;3
11/12/2019;78;8;3
29/6/2019;3;29;1
18/1/2019;46;51;2
24/6/2019;26;45;1
28/1/2019;27;16;7
16/6/2019;4;53;8
24/3/2019;72;44;3
30/6/2019;0;38;4
26/9/2019;58;58;5
8/1/2019;0;34;4
13/1/2019;14;30;3
21/3/2019;21;50;8
7/5/2019;56;14;2
4/9/2019;53;34;10
16/7/2019;50;6;10
2/10/2019;105;7;10
6/10/2019;91;46;10
14/6/2019;87;51;5
17/9/2019;10;30;2
11/10/2019;5;51;9
6/11/2019;118;14;7
29/10/2019;30;15;6
16/4/2019;10;52;6
17/7/2019;71;31;6
3/8/2019;40;34;6
28/8/2019;114;38;5
17/6/2019;122;13;1
18/8/2019;64;38;3
24/4/2019;73;57;10
27/4/2019;54;45;9
27/6/2019;120;26;3
18/8/2019;129;39;3
22/12/2019;65;32;8
17/1/2019;37;37;2
13/10/2019;23;45;2
30/4/2019;95;34;10
3/4/2019;90;7;7
30/1/2019;35;54;10
8/5/2019;33;8;6
19/9/2019;111;17;5
11/4/2019;52;45;10
2/4/2019;65;56;1
6/10/2019;38;11;8
8/2/2019;9;33;6
30/8/2019;70;7;4
1/3/2019;37;30;1
4/6/2019;117;37;9
28/10/2019;12;19;3
4/1/2019;17;5;4
6/9/2019;91;13;9
3/3/2019;19;15;2
13/10/2019;35;21;10
30/11/2019;80;23;2
27/3/2019;11;41;1
22/7/2019;39;57;6
23/7/2019;81;21;2
17/5/2019;21;40;4
8/8/2019;77;39;8
30/6/2019;122;36;3
11/12/2019;82;23;4
6/3/2019;117;28;5
26/12/2019;117;42;10
20/7/2019;45;52;10
14/10/2019;7;30;3
8/8/2019;23;2;10
11/3/2019;34;48;1
10/8/2019;57;41;9
10/12/2019;44;41;8
30/6/2019;108;28;5
27/10/2019;70;3;8
15/7/2019;118;14;2
30/12/2019;116;17;5
3/1/2019;84;50;5
11/5/2019;54;21;6
9/2/2019;24;36;1
28/1/2019;64;45;7
10/1/2019;64;7;5
28/3/2019;15;15;9
3/10/2019;14;45;7
12/7/2019;110;20;5
3/5/2019;13;20;9
12/2/2019;30;3;5
9/10/2019;87;37;8
3/3/2019;74;22;10
19/5/2019;107;24;6
25/1/2019;96;49;5
23/10/2019;120;25;5
29/9/2019;103;36;5
5/2/2019;99;56;7
8/8/2019;70;12;8
11/4/2019;27;23;3
25/3/2019;50;48;7
18/5/2019;114;34;4
7/10/2019;73;45;6
19/4/2019;123;6;1
29/3/2019;94;43;9
29/7/2019;37;42;8
25/8/2019;127;46;1
20/1/2019;120;32;4
14/11/2019;63;38;4
30/6/2019;51;56;7
2/10/2019;111;4;1
15/11/2019;34;26;2
23/8/2019;79;33;6
1/12/2019;100;24;2
7/4/2019;19;11;1
2/4/2019;118;39;3
1/9/2019;31;29;6
27/8/2019;21;34;9
9/1/2019;69;19;9
12/6/2019;107;58;1
7/12/2019;1;52;3
8/1/2019;109;17;8
10/9/2019;10;31;1
2/9/2019;9;47;8
12/8/2019;99;13;5
20/2/2019;29;10;8
19/4/2019;119;4;5
18/9/2019;4;41;7
27/8/2019;63;32;10
6/2/2019;47;32;4
2/9/2019;82;4;1
30/11/2019;100;47;1
24/12/2019;56;1;10
24/9/2019;101;19;5
8/5/2019;52;42;4
11/9/2019;56;2;8
17/1/2019;81;28;3
27/2/2019;21;28;1
10/3/2019;49;58;3
23/8/2019;96;29;9
19/9/2019;58;3;10
5/8/2019;101;35;1
29/11/2019;110;25;2
27/12/2019;57;36;3
14/3/2019;31;23;8
8/2/2019;71;35;5
18/6/2019;17;27;9
14/7/2019;7;39;7
25/1/2019;69;21;2
12/5/2019;80;32;3
20/7/2019;100;48;1
30/10/2019;127;14;9
14/5/2019;75;11;4
12/12/2019;93;1;7
12/10/2019;126;20;10
22/2/2019;14;58;1
12/3/2019;105;20;9
23/4/2019;92;23;2
24/7/2019;38;41;7
2/5/2019;108;12;4
6/4/2019;22;43;2
8/1/2019;120;54;3
28/11/2019;75;27;9
8/2/2019;76;30;3
18/11/2019;126;30;1
13/12/2019;20;54;5
23/2/2019;69;2;4
16/10/2019;31;27;2
26/7/2019;33;30;10
3/8/2019;6;1;3
21/9/2019;70;54;9
26/11/2019;5;55;6
11/11/2019;91;45;6
9/12/2019;15;35;2
25/12/2019;118;23;5
29/11/2019;54;28;2
27/3/2019;77;39;1
1/9/2019;49;21;9
15/8/2019;112;2;6
29/12/2019;75;17;8
28/12/2019;14;15;4
3/1/2019;92;42;4
5/9/2019;9;17;5
14/2/2019;64;40;3
14/4/2019;85;13;1
1/12/2019;44;49;1
14/8/2019;23;16;2
2/1/2019;27;53;7
24/6/2019;48;46;6
10/2/2019;111;31;7
12/7/2019;48;49;10
25/6/2019;28;35;10
16/8/2019;37;45;6
26/8/2019;95;9;8
30/7/2019;1;49;7
23/4/2019;108;9;8
19/6/2019;14;54;7
20/9/2019;35;14;8
13/2/2019;15;52;6
28/3/2019;116;11;4
9/6/2019;11;54;6
23/6/2019;39;31;5
28/12/2019;102;37;4
22/10/2019;73;26;8
23/7/2019;39;35;6
15/8/2019;1;16;1
6/12/2019;85;25;8
27/1/2019;54;57;4
21/6/2019;40;53;4
27/6/2019;18;28;1
28/7/2019;113;17;6
10/3/2019;65;17;2
28/5/2019;40;48;9
11/5/2019;12;13;1
4/3/2019;23;37;6
18/3/2019;34;16;3
22/8/2019;90;19;7
12/1/2019;102;38;7
11/1/2019;86;53;4
3/6/2019;26;56;1
8/2/2019;33;19;8
2/9/2019;66;9;2
25/2/2019;117;39;8
17/8/2019;122;43;9
27/11/2019;60;24;5
12/2/2019;27;8;1
28/6/2019;51;57;10
21/2/2019;99;1;10
6/4/2019;121;26;6
7/9/2019;29;3;7
15/12/2019;23;53;10
4/11/2019;74;38;9
23/5/2019;14;7;1
2/4/2019;50;10;6
4/7/2019;125;56;5
5/5/2019;107;27;5
1/5/2019;49;28;4
23/12/2019;83;55;3
22/3/2019;82;6;6
24/9/2019;77;24;1
22/4/2019;126;57;9
